Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Budget
0,owner,60,45,married,no_rec,fixed,75,250,15500,0,1000,1989
21,owner,36,39,married,no_rec,fixed,75,170,4000,0,1200,1650
0,rent,48,25,married,no_rec,partime,60,150,0,0,1300,1582
14,owner,60,38,married,no_rec,fixed,60,120,5000,0,1250,1557
9,owner,60,34,married,no_rec,fixed,35,350,8000,0,1250,1304
1,rent,36,32,divorced,no_rec,partime,55,200,15000,0,1100,1650
30,rent,24,48,married,no_rec,freelance,69,240,25000,0,1000,2200
0,owner,24,15,single,no_rec,others,60,152,2000,0,400,480
1,rent,60,21,married,no_rec,partime,61,155,0,0,1035,1709
12,owner,60,29,married,no_rec,fixed,75,172,10000,3900,1000,1568
9,owner,48,44,married,no_rec,fixed,60,149,12000,0,700,1975
38,rent,12,61,married,no_rec,fixed,79,340,0,0,700,1568
0,parents,36,21,single,no_rec,partime,35,70,3500,350,375,500
27,rent,60,45,married,yes_rec,fixed,87,120,0,0,1300,1350
6,owner,60,27,married,no_rec,fixed,75,160,2200,600,1550,1600
7,priv,60,27,married,no_rec,fixed,60,242,3500,2000,1000,2236
2,owner,60,27,married,no_rec,partime,60,75,5500,1500,1400,1732
20,owner,6,43,married,yes_rec,freelance,35,334,14000,0,500,1351
2,owner,36,15,single,no_rec,freelance,35,184,80000,30000,750,1350
7,other,60,20,married,no_rec,fixed,45,50,0,0,950,1378
0,owner,24,28,married,no_rec,partime,35,100,8000,0,500,2700
12,owner,60,40,married,no_rec,freelance,35,75,4000,0,1000,1100
0,priv,60,30,married,no_rec,partime,45,129,4500,0,1160,1465
13,rent,60,31,married,no_rec,fixed,84,92,0,0,1200,1271
18,owner,60,46,married,yes_rec,fixed,45,182,5000,0,1500,1500
3,rent,60,43,separated,yes_rec,fixed,47,120,0,0,1000,1077
1,other,24,41,married,no_rec,partime,45,70,2500,0,390,590
22,owner,36,42,married,no_rec,fixed,60,100,2250,0,450,546
15,rent,60,37,married,no_rec,fixed,58,130,0,0,1000,1308
22,owner,36,43,married,no_rec,fixed,45,150,5000,0,650,750
15,owner,60,45,widow,yes_rec,freelance,35,25,15000,2520,880,951
10,owner,48,49,married,no_rec,freelance,35,27,5000,0,1050,1054
2,rent,60,37,single,yes_rec,fixed,35,190,0,0,1900,2259
5,rent,24,29,married,no_rec,freelance,95,199,0,0,250,650
4,owner,24,26,married,no_rec,fixed,60,256,3000,0,600,1571
0,other,60,37,married,no_rec,freelance,45,134,0,0,2700,3700
17,owner,48,50,married,yes_rec,freelance,60,73,15000,0,1900,2205
2,parents,60,49,single,no_rec,freelance,35,120,0,0,600,847
20,owner,24,50,married,no_rec,freelance,75,192,11600,0,750,1705
15,owner,24,29,married,no_rec,freelance,35,76,148,1,1300,2099
1,parents,24,16,single,no_rec,partime,45,114,2500,500,500,1154
6,priv,60,18,single,no_rec,fixed,35,150,5050,3800,1000,2470
6,rent,60,31,single,no_rec,fixed,85,400,0,0,1000,1290
10,owner,60,36,married,no_rec,fixed,75,187,2500,0,1150,1250
23,owner,60,45,married,yes_rec,freelance,90,69,1,0,1450,1510
5,priv,24,27,single,no_rec,freelance,35,189,7750,3900,1000,1536
0,parents,60,20,married,yes_rec,fixed,45,148,0,0,1400,1557
0,owner,48,17,single,no_rec,fixed,35,152,4000,0,1210,1325
0,rent,36,28,married,yes_rec,partime,76,155,0,0,440,440
7,owner,60,28,single,no_rec,fixed,35,210,6000,0,1700,2414
31,owner,12,48,married,yes_rec,fixed,60,165,6000,0,594,1332
1,owner,60,30,single,no_rec,partime,35,181,4500,0,1600,1912
0,parents,48,20,married,no_rec,fixed,60,247,0,0,1900,1900
20,owner,60,49,married,no_rec,freelance,75,99,10000,0,900,1056
1,parents,30,18,single,no_rec,freelance,35,60,0,0,800,1452
1,rent,36,32,married,no_rec,freelance,90,12,0,0,850,998
12,rent,36,47,married,no_rec,freelance,75,69,3500,0,200,1240
3,owner,42,36,married,no_rec,freelance,35,76,40000,0,1460,2191
7,other,60,30,married,yes_rec,fixed,45,120,0,0,1400,1715
1,parents,60,29,married,no_rec,fixed,75,190,0,0,700,719
4,owner,60,32,married,no_rec,freelance,35,128,18000,0,800,1560
22,owner,48,43,married,no_rec,freelance,75,642,37000,0,1000,1484
10,rent,60,34,single,no_rec,freelance,45,100,0,0,1450,1692
2,owner,60,18,single,no_rec,fixed,35,150,3000,0,2000,4904
5,parents,30,19,married,no_rec,fixed,35,120,0,0,700,1804
11,rent,48,35,married,no_rec,fixed,59,140,0,0,1000,1930
5,owner,60,32,married,no_rec,others,75,145,3000,672,1300,1510
2,rent,36,18,single,no_rec,fixed,43,79,0,0,900,1000
8,rent,60,26,single,no_rec,fixed,46,110,0,0,850,880
2,parents,60,20,single,no_rec,fixed,35,96,0,0,1300,1785
11,rent,60,49,married,no_rec,fixed,54,90,0,0,1000,1303
11,rent,60,23,single,no_rec,fixed,42,67,0,0,900,1399
14,owner,36,29,married,no_rec,fixed,75,155,3000,1000,400,1908
3,priv,36,33,divorced,yes_rec,fixed,35,136,12500,0,3000,4800
20,owner,60,39,married,no_rec,fixed,60,115,4000,0,1250,1463
1,rent,36,17,married,no_rec,fixed,62,168,0,0,1200,2186
5,rent,12,30,married,yes_rec,freelance,96,210,0,0,300,700
0,owner,36,57,married,no_rec,others,45,73,5000,0,430,1132
7,rent,18,28,married,no_rec,fixed,113,532,0,0,1000,2290
24,owner,48,34,married,no_rec,fixed,75,125,6000,200,1000,1409
1,owner,60,31,married,no_rec,fixed,75,214,3500,0,650,1645
20,owner,6,54,married,no_rec,freelance,60,159,19,0,500,1402
18,owner,60,29,married,no_rec,fixed,35,168,12000,0,800,1103
4,rent,36,19,married,yes_rec,fixed,75,148,0,0,900,1100
20,owner,30,57,married,no_rec,freelance,60,300,24000,9000,600,823
5,parents,60,19,single,no_rec,fixed,35,120,0,0,900,1249
1,owner,60,25,single,yes_rec,freelance,35,57,4000,2100,1500,1950
10,other,36,27,single,no_rec,fixed,35,139,0,0,1100,2471
24,owner,60,49,married,no_rec,freelance,45,109,17000,0,2000,3400
1,parents,48,23,single,no_rec,fixed,35,140,0,0,1400,1728
2,other,48,20,single,no_rec,fixed,35,142,0,0,1000,1440
5,owner,24,54,married,no_rec,fixed,35,105,18000,0,1800,1965
3,owner,36,31,married,no_rec,freelance,75,114,4000,0,1000,1818
1,parents,60,14,single,no_rec,fixed,45,128,9500,2800,1300,1540
0,parents,48,20,single,no_rec,freelance,45,145,7000,0,1700,2173
13,parents,36,29,single,no_rec,fixed,35,90,0,0,500,1014
18,parents,60,37,divorced,yes_rec,fixed,35,145,0,0,1000,1025
2,owner,60,49,widow,yes_rec,fixed,35,180,8000,0,1000,1130
11,owner,60,34,divorced,yes_rec,fixed,35,263,2500,0,1000,1300
10,owner,48,45,married,no_rec,freelance,60,40,12000,0,1000,1303
16,parents,60,29,single,no_rec,freelance,35,132,12000,0,1200,1336
2,owner,48,46,married,no_rec,freelance,60,241,6500,51,900,1100
2,owner,36,23,married,no_rec,partime,60,146,2500,0,700,1258
18,rent,48,48,married,no_rec,fixed,54,92,0,0,1340,1345
2,priv,24,36,married,yes_rec,freelance,135,959,2000,500,1050,1474
0,parents,36,27,single,no_rec,fixed,35,119,3000,0,1000,1345
8,owner,60,37,married,yes_rec,freelance,75,290,10000,0,1200,2140
7,owner,60,27,married,no_rec,partime,75,156,3500,0,1300,1553
8,owner,36,47,married,no_rec,fixed,60,695,18000,0,750,2095
2,owner,48,19,single,no_rec,fixed,35,157,6000,0,1000,1347
15,owner,36,42,married,no_rec,fixed,75,289,3500,0,1500,2154
10,rent,18,29,divorced,no_rec,fixed,54,189,0,0,800,2215
5,owner,36,54,married,no_rec,freelance,35,184,1,0,700,1100
0,rent,60,27,married,no_rec,freelance,90,159,0,0,1600,1692
7,parents,24,35,married,no_rec,fixed,60,200,10000,0,1000,3429
3,owner,36,33,married,no_rec,fixed,75,106,8500,0,2375,2375
0,rent,48,27,single,no_rec,fixed,41,60,0,0,800,1566
3,priv,60,29,married,yes_rec,fixed,75,200,2500,0,1350,1589
2,rent,36,30,single,no_rec,fixed,47,120,0,0,900,1200
3,rent,60,26,married,no_rec,freelance,70,102,0,0,1100,1305
0,parents,48,23,single,no_rec,freelance,35,94,0,0,720,1321
0,parents,60,20,married,no_rec,others,45,209,2000,0,900,1436
1,owner,60,34,married,no_rec,freelance,60,93,6000,3000,850,1104
3,parents,60,18,single,no_rec,freelance,45,70,4000,0,1000,1330
12,owner,60,35,married,yes_rec,fixed,45,110,11500,1750,800,1594
15,owner,60,39,married,no_rec,freelance,60,42,10000,0,910,1450
14,owner,60,34,married,no_rec,fixed,105,129,3500,1200,750,1888
6,ignore,24,26,single,no_rec,fixed,35,250,8000,0,1000,2436
10,owner,60,35,married,yes_rec,fixed,60,233,15000,2640,1400,2038
26,rent,60,35,married,no_rec,fixed,47,118,0,0,1260,1450
5,owner,48,27,married,no_rec,freelance,75,110,9500,0,1195,1244
8,rent,60,29,married,yes_rec,fixed,80,200,0,0,1200,1800
5,owner,60,36,married,no_rec,fixed,60,266,14800,0,2500,2600
1,owner,48,37,married,yes_rec,freelance,75,200,9000,4500,1400,1700
0,owner,60,26,married,yes_rec,fixed,45,184,3500,0,1550,1679
12,rent,36,25,married,no_rec,fixed,65,203,0,0,1500,2700
0,parents,48,16,single,no_rec,partime,35,106,5000,0,500,1131
6,owner,60,37,separated,no_rec,fixed,35,87,10000,0,1400,1725
7,owner,60,29,married,no_rec,fixed,45,119,4000,0,2000,2221
15,rent,48,50,widow,no_rec,fixed,62,173,0,0,1100,1467
20,other,6,53,married,yes_rec,fixed,45,130,0,0,500,2058
4,rent,48,27,married,no_rec,fixed,56,110,0,0,800,1626
10,owner,36,44,married,no_rec,freelance,45,126,5000,0,800,1150
5,rent,48,26,single,no_rec,fixed,44,90,0,0,1300,1700
2,rent,48,14,single,no_rec,freelance,60,246,20500,0,1370,1371
15,rent,36,31,married,no_rec,fixed,60,145,0,0,900,1621
4,owner,24,17,single,no_rec,fixed,35,97,3216,0,1000,1000
2,other,60,40,married,yes_rec,partime,60,90,0,0,1000,1457
8,parents,60,19,single,no_rec,freelance,35,29,0,0,900,996
3,owner,12,19,single,yes_rec,fixed,35,105,6000,0,500,1138
1,rent,36,19,married,no_rec,fixed,59,135,0,0,650,1136
6,other,60,25,married,no_rec,fixed,60,133,0,0,1300,1388
11,owner,60,23,married,no_rec,fixed,75,260,24000,0,1400,1852
11,owner,48,23,single,no_rec,fixed,35,345,6000,0,830,1152
3,priv,60,27,married,yes_rec,fixed,60,200,4500,2000,1600,1759
5,owner,24,36,married,no_rec,freelance,105,156,10000,0,800,1894
2,owner,60,19,married,no_rec,partime,45,67,4100,2800,1400,1403
0,owner,48,34,married,no_rec,freelance,60,16,3000,0,850,1053
1,owner,48,36,married,no_rec,freelance,60,102,4000,0,1000,1090
1,priv,60,30,married,no_rec,freelance,35,100,3000,0,1400,1411
4,rent,36,55,married,no_rec,fixed,56,111,0,0,500,675
15,owner,36,42,married,no_rec,fixed,75,152,13000,0,2700,3560
10,rent,60,33,married,yes_rec,fixed,110,204,0,0,1500,1531
1,owner,60,29,married,yes_rec,fixed,45,180,2500,300,1300,1817
6,parents,48,41,married,no_rec,fixed,35,205,0,0,800,1450
3,parents,60,18,single,no_rec,fixed,45,113,4000,0,900,1105
6,owner,18,28,single,no_rec,fixed,35,163,6000,0,1200,2022
5,rent,30,54,married,no_rec,fixed,81,207,20000,0,700,1460
1,rent,48,19,married,no_rec,partime,41,56,0,0,1500,1935
4,owner,36,49,married,no_rec,freelance,35,80,25000,0,1400,1490
0,owner,60,18,married,no_rec,others,60,47,3000,0,820,875
40,owner,42,56,married,no_rec,fixed,90,275,12000,0,1000,1335
2,parents,24,14,single,no_rec,partime,35,50,50000,0,900,1472
5,owner,18,23,married,no_rec,fixed,60,102,2500,1300,450,1437
3,owner,24,22,married,no_rec,fixed,45,245,14000,0,500,2070
13,owner,60,33,married,no_rec,freelance,35,140,7500,0,350,1355
0,other,60,22,single,no_rec,fixed,35,149,0,0,1500,1601
4,other,12,23,married,no_rec,fixed,45,99,0,0,250,1000
4,other,12,25,single,no_rec,freelance,35,70,0,0,350,999
17,parents,36,38,married,no_rec,fixed,75,200,0,0,1000,2355
25,owner,36,46,separated,no_rec,freelance,35,200,5000,0,1700,2022
5,parents,60,27,married,no_rec,freelance,60,538,0,0,1400,2360
4,owner,24,25,married,yes_rec,fixed,45,165,3000,0,250,450
3,owner,60,28,separated,no_rec,freelance,35,76,6000,0,950,950
1,owner,36,26,married,no_rec,fixed,45,197,8000,300,1590,1597
8,parents,60,23,single,yes_rec,fixed,35,76,0,0,1300,1550
8,owner,24,27,married,no_rec,fixed,60,77,4000,0,350,865
5,parents,36,23,married,no_rec,fixed,45,107,0,0,1160,1959
3,owner,24,24,married,no_rec,fixed,45,254,6000,800,500,1900
3,other,60,22,single,no_rec,fixed,35,184,4700,700,1400,1640
3,rent,60,24,married,yes_rec,fixed,55,100,0,0,930,1007
1,owner,60,24,married,no_rec,fixed,45,275,6000,1810,1600,1930
2,owner,60,38,married,yes_rec,fixed,45,63,3000,0,1100,1683
5,owner,36,53,married,yes_rec,others,45,79,7000,0,400,1234
3,parents,24,19,married,no_rec,fixed,35,120,10000,0,500,650
4,owner,36,31,married,no_rec,fixed,45,75,4000,0,800,800
5,rent,60,35,married,yes_rec,fixed,66,206,0,0,1900,2225
4,parents,30,22,single,no_rec,fixed,45,100,5000,0,500,1048
4,rent,36,16,married,no_rec,freelance,101,413,6000,0,750,850
30,rent,6,44,married,yes_rec,freelance,81,208,2000,0,800,1804
1,owner,48,21,married,no_rec,freelance,75,180,1600,0,1450,1610
4,owner,6,37,married,no_rec,fixed,45,275,4800,1200,2400,3400
5,owner,36,34,married,no_rec,fixed,60,150,10000,0,1350,1758
13,owner,60,25,married,no_rec,fixed,45,210,14000,0,1100,1224
30,owner,12,47,single,no_rec,fixed,35,237,5000,500,800,1800
4,owner,60,28,married,no_rec,partime,90,82,3500,1000,1300,1795
15,priv,24,47,single,no_rec,freelance,35,330,16500,0,1500,2201
2,other,48,19,married,no_rec,fixed,35,63,4000,0,700,985
2,other,36,21,married,no_rec,fixed,35,148,4000,0,700,1300
2,rent,48,36,separated,no_rec,fixed,61,162,0,0,900,1178
0,parents,60,20,single,no_rec,partime,35,35,0,0,1150,1351
18,parents,60,27,married,no_rec,fixed,75,152,5000,0,1400,1640
15,owner,60,29,married,no_rec,fixed,45,82,3500,0,750,1624
3,priv,6,19,single,no_rec,fixed,35,173,4800,0,475,1323
10,priv,48,32,married,no_rec,fixed,60,150,1000,0,1200,1350
15,owner,12,45,married,no_rec,freelance,45,166,2000,0,500,886
11,owner,48,25,married,no_rec,fixed,75,67,3000,2040,1000,1093
3,parents,60,27,single,no_rec,fixed,35,122,0,0,2000,2050
10,owner,36,29,married,no_rec,fixed,90,159,3000,250,300,500
16,parents,48,30,separated,no_rec,fixed,60,103,0,0,500,862
22,owner,36,45,married,no_rec,freelance,135,126,24000,0,500,800
12,rent,18,22,married,no_rec,fixed,67,68,0,0,100,675
20,owner,24,37,married,yes_rec,freelance,60,145,10000,0,1000,1622
10,owner,48,30,married,no_rec,fixed,45,63,5000,350,1000,1580
4,other,60,23,married,no_rec,fixed,60,143,0,0,1150,1630
8,owner,36,32,married,yes_rec,fixed,75,190,20000,0,1000,2105
5,priv,60,19,married,no_rec,fixed,45,127,2000,0,1000,1282
8,parents,42,22,single,no_rec,fixed,35,107,0,0,400,1418
33,other,36,51,married,no_rec,fixed,35,80,3500,0,800,981
2,owner,60,21,single,yes_rec,fixed,35,110,7000,0,535,1710
14,rent,48,24,married,no_rec,fixed,52,70,0,0,800,1210
20,owner,60,41,married,no_rec,fixed,35,140,9000,0,800,1300
1,rent,36,39,married,yes_rec,fixed,54,90,0,0,1500,2100
3,parents,60,21,single,yes_rec,fixed,35,73,0,0,650,1200
14,priv,48,37,married,no_rec,fixed,90,151,8000,6300,1000,1650
2,rent,60,18,single,no_rec,fixed,58,225,0,0,800,975
6,parents,60,18,single,no_rec,fixed,35,109,0,0,1332,1332
1,owner,48,43,married,no_rec,freelance,45,188,14000,0,900,1082
2,parents,60,20,single,no_rec,fixed,35,84,0,0,1150,1705
7,other,36,33,married,yes_rec,freelance,35,59,0,0,1000,2246
3,owner,24,46,married,no_rec,freelance,60,124,26000,300,3000,6900
3,owner,60,25,married,no_rec,fixed,60,164,4500,0,800,975
15,owner,60,26,married,yes_rec,fixed,45,96,4000,0,960,1031
1,parents,60,17,married,yes_rec,partime,45,183,0,0,1600,1739
2,owner,18,38,married,no_rec,freelance,90,356,5000,800,700,1073
12,owner,36,49,married,no_rec,fixed,60,130,4000,0,700,2100
29,owner,48,51,married,no_rec,fixed,45,100,3000,0,900,1360
42,owner,60,55,married,no_rec,fixed,45,232,5000,0,1130,1275
12,owner,60,22,married,no_rec,fixed,60,160,2500,270,1400,1461
3,owner,48,20,single,no_rec,fixed,35,125,4000,0,1000,1301
2,parents,48,29,single,no_rec,fixed,45,157,4000,0,1450,1769
0,parents,60,16,single,no_rec,freelance,35,44,0,0,1200,1311
17,owner,24,48,married,no_rec,fixed,75,132,4000,0,400,1195
4,owner,60,30,married,yes_rec,freelance,45,184,15000,3000,2000,2477
5,parents,60,19,single,no_rec,fixed,35,92,0,0,1030,1068
8,owner,60,25,married,no_rec,fixed,60,106,7000,4000,700,999
9,priv,48,41,married,no_rec,fixed,45,100,37000,0,800,904
20,parents,36,34,married,no_rec,freelance,60,346,35000,0,1900,2440
0,owner,6,28,single,yes_rec,partime,45,240,4500,0,675,1146
2,owner,30,33,married,no_rec,fixed,75,159,11000,0,1280,1289
15,owner,48,24,married,no_rec,freelance,45,176,16200,0,1400,2475
1,parents,60,28,married,no_rec,fixed,60,355,12000,0,1900,2150
20,other,12,60,married,yes_rec,freelance,45,430,70000,0,1000,1321
1,owner,60,55,married,no_rec,others,45,200,7000,0,1000,1179
2,owner,48,45,married,no_rec,fixed,35,86,4000,0,900,1221
17,owner,60,39,married,no_rec,fixed,45,116,3000,0,800,1654
4,owner,60,35,married,yes_rec,fixed,60,231,7000,3000,1100,1291
20,rent,36,34,married,no_rec,freelance,95,202,0,0,600,1461
20,owner,36,58,married,no_rec,freelance,35,110,6000,0,1000,1675
1,owner,48,48,married,no_rec,freelance,35,213,20000,0,1250,2040
3,owner,60,53,married,no_rec,fixed,75,150,5000,0,1100,2035
1,rent,48,34,married,no_rec,fixed,86,105,0,0,1300,1600
5,owner,60,22,married,no_rec,fixed,45,135,5000,1400,1600,1650
3,owner,48,45,married,no_rec,fixed,90,125,12000,0,800,950
1,parents,36,17,single,yes_rec,partime,35,50,0,0,425,450
0,owner,60,17,single,no_rec,partime,35,155,6500,0,1100,1646
0,other,60,22,married,no_rec,freelance,60,45,0,0,1400,1453
1,rent,60,19,married,no_rec,fixed,77,165,0,0,1500,1736
12,owner,36,59,single,yes_rec,freelance,60,341,4500,0,900,900
1,priv,48,36,married,no_rec,partime,75,80,4000,30,1100,1409
20,owner,36,43,married,no_rec,fixed,60,131,3500,0,1000,2188
22,priv,60,31,married,no_rec,fixed,75,190,3500,0,1300,1579
5,rent,60,19,married,no_rec,fixed,56,111,0,0,1000,1570
0,parents,60,18,single,no_rec,partime,35,95,0,0,1400,1478
5,owner,60,52,married,no_rec,fixed,60,830,18000,0,2000,2125
0,rent,60,14,single,no_rec,fixed,35,37,0,0,1200,1503
2,rent,60,27,married,no_rec,partime,87,115,2000,0,1250,1517
2,rent,48,20,married,no_rec,fixed,57,117,0,0,800,2251
22,other,24,31,married,no_rec,fixed,45,176,0,0,700,1428
8,owner,36,20,married,no_rec,fixed,35,185,3000,0,1600,2202
0,parents,60,14,single,no_rec,others,75,200,3000,0,1800,2091
15,owner,36,51,married,yes_rec,freelance,35,90,16000,0,800,1300
0,parents,48,16,single,yes_rec,fixed,35,140,0,0,1350,1566
16,owner,36,50,married,no_rec,fixed,35,140,6000,0,1100,2136
10,parents,24,24,single,no_rec,freelance,35,90,0,0,600,1528
2,owner,36,42,married,no_rec,fixed,60,70,5000,0,1200,1397
3,priv,36,32,married,no_rec,freelance,45,87,4500,0,900,1596
1,owner,36,15,single,no_rec,partime,35,139,4000,0,375,425
2,other,60,27,married,no_rec,partime,45,150,0,0,1450,1850
7,parents,36,26,separated,no_rec,fixed,35,197,0,0,1200,1200
0,parents,36,17,single,no_rec,partime,35,81,2500,0,400,775
0,owner,36,27,married,no_rec,freelance,90,84,17000,0,700,875
1,rent,60,47,divorced,no_rec,fixed,55,99,0,0,750,873
7,rent,60,44,married,yes_rec,fixed,67,68,0,0,1300,1500
20,owner,6,35,married,no_rec,freelance,60,300,60000,0,600,1904
5,parents,60,35,married,yes_rec,fixed,45,100,0,0,1385,1385
15,parents,48,41,divorced,no_rec,fixed,35,125,0,0,1000,1284
0,owner,60,59,widow,no_rec,others,35,100,8000,0,1980,2038
15,owner,36,53,married,no_rec,freelance,60,159,9000,0,687,687
8,rent,60,53,married,no_rec,fixed,35,267,0,0,1700,2136
3,rent,36,18,single,no_rec,fixed,59,244,3100,0,700,1199
15,owner,48,41,married,no_rec,fixed,90,148,12000,0,1000,1266
30,owner,36,45,married,yes_rec,freelance,60,109,10000,0,1600,1800
7,owner,24,34,married,no_rec,fixed,75,260,10000,0,400,1100
3,parents,48,43,married,no_rec,fixed,35,120,0,0,1300,1470
12,owner,60,22,married,no_rec,fixed,45,145,3500,0,1000,1556
5,parents,12,27,married,no_rec,freelance,35,147,0,0,300,750
1,parents,48,24,single,no_rec,freelance,45,478,9000,0,2100,2450
3,owner,48,32,widow,no_rec,fixed,45,160,6000,3000,1000,1520
12,owner,60,26,married,no_rec,fixed,35,183,10000,2200,1300,1349
2,owner,24,21,married,yes_rec,freelance,45,167,4000,0,340,900
13,parents,48,46,married,no_rec,fixed,45,92,3000,500,1220,1433
5,parents,60,24,single,no_rec,freelance,35,115,12000,0,1200,1553
9,rent,36,50,married,no_rec,fixed,70,250,30000,0,1750,2276
10,owner,48,45,separated,no_rec,freelance,35,232,80000,0,1800,2038
0,owner,36,49,married,no_rec,others,45,134,2500,0,625,801
0,owner,60,51,married,no_rec,fixed,45,150,10000,0,1000,1798
23,rent,60,38,married,no_rec,fixed,54,92,23,0,1080,1222
0,owner,60,60,married,no_rec,others,45,69,10000,0,1500,1750
15,rent,24,42,married,yes_rec,freelance,79,41,7000,0,1200,2257
10,owner,60,22,married,no_rec,freelance,35,180,8000,3530,1700,1847
4,parents,60,23,divorced,no_rec,fixed,35,185,0,0,1500,1797
20,owner,24,42,married,no_rec,freelance,75,300,5000,0,600,832
1,rent,60,22,single,no_rec,fixed,44,88,0,0,1000,1092
1,rent,60,16,single,no_rec,fixed,49,138,0,0,950,984
5,rent,36,17,single,no_rec,fixed,42,70,0,0,850,870
10,owner,36,33,married,no_rec,fixed,75,135,5500,1440,690,1000
10,parents,12,32,married,no_rec,fixed,90,250,3000,0,240,1488
25,owner,18,35,married,no_rec,freelance,75,154,5000,1600,375,375
16,owner,60,28,married,no_rec,fixed,45,90,6000,0,1500,1630
25,owner,60,46,married,no_rec,fixed,60,222,7000,0,1300,1400
23,owner,24,52,married,no_rec,fixed,45,93,2500,0,600,1118
2,rent,60,15,single,no_rec,fixed,46,108,0,0,1200,1300
1,owner,48,31,married,no_rec,fixed,60,75,5500,0,1085,1736
2,priv,60,25,married,no_rec,fixed,60,152,3500,750,800,865
2,rent,18,20,single,no_rec,partime,44,85,0,0,320,425
1,priv,48,50,married,no_rec,fixed,60,94,8000,840,900,1050
0,owner,42,60,married,no_rec,others,45,77,4000,2000,750,1194
1,parents,60,17,single,no_rec,fixed,35,110,2000,0,1500,2098
3,parents,48,20,single,no_rec,fixed,35,32,0,0,700,1114
7,parents,36,17,single,no_rec,partime,35,77,0,0,800,875
6,rent,24,29,married,no_rec,fixed,68,230,0,0,500,1094
8,owner,24,42,single,yes_rec,fixed,35,320,50000,2000,300,2300
22,owner,12,40,married,no_rec,fixed,60,100,3000,0,400,1531
1,parents,36,18,single,no_rec,partime,35,70,2000,0,1050,1410
1,owner,48,36,married,no_rec,fixed,60,72,7000,0,700,985
1,parents,60,16,single,no_rec,freelance,35,100,0,0,900,1290
7,owner,36,20,married,no_rec,fixed,35,70,3000,750,650,700
5,other,60,37,married,no_rec,fixed,75,95,0,0,1000,1067
0,owner,60,19,married,no_rec,others,35,104,7000,2500,1350,1425
0,owner,24,53,married,yes_rec,fixed,45,150,4000,0,600,1607
0,owner,30,50,married,no_rec,freelance,60,155,6000,0,500,635
1,priv,60,19,single,no_rec,fixed,35,174,7000,6500,950,1468
6,rent,60,24,single,no_rec,fixed,45,95,2500,0,1250,1490
